Shot #,Timecode,Scene,Characters,Visual Treatment,Costume / Color Note,Tool / Method,Status
1.1,0:00-0:05,Earth Entry (generic),—,Static/slow-zoom satellite view of Singapore skyline at night; faint golden horizon glow builds.,—,Google Flow (Veo) / Midjourney,Confirmed
1.2,0:05-0:12,Earth Entry (generic),—,Camera rises from Singapore through the atmosphere; particle energy rising from the city; blues/golds/hints of purple.,—,Google Flow (Veo),Confirmed
1.25,0:12-0:16,Earth Entry (generic),—,"BRIDGING SHOT — generated as a zoom-IN toward Singapore through golden dust, then reversed in the editor to read as a smooth zoom-OUT. Camera keeps pulling back at matching speed; golden dust thins/disperses; city gradually settles into a small, steady glowing dot on Earth's curve. Fixes the jarring 1.2→1.3 cut where Singapore snapped straight to a tiny dot.",—,Google Flow (Veo) generated forward, reversed in video editor (Premiere/CapCut),Draft
1.3,0:16-0:20,Earth Entry (generic),—,"High orbital view; Earth tilts, Indian subcontinent glows gold, holographic ley-lines overlay; fade to cosmic space.",—,Google Flow (Veo) / After Effects overlay,Draft
2.1,0:20-0:28,Cosmic Journey (generic),—,"Flight through star field toward a distant galaxy; particle trails, parallax depth.",—,Google Flow (Veo) / Runway,Draft
2.2,0:28-0:35,Cosmic Journey (generic),—,"360° orbit around a crystalline geometric galaxy; sacred-geometry vertices, light refraction.",—,Runway / Blender,Draft
2.3,0:35-0:45,Cosmic Journey (generic),—,"Weaves between 3-4 unique cosmic nodes, data-stream connections; scene opens into the Heaven realm.",—,Runway / Blender,Draft
3.1,0:45-0:55,Heaven Approach (generic + tease),—,"Flying toward glowing temple/palace architecture; golds, saffrons, celestial whites.",—,Midjourney keyframe + Runway,Draft
3.2,0:55-1:05,Heaven Approach (generic + tease),—,"Passing through light-gates into the architectural realm; divine birds, volumetric light, particle rain.",—,Midjourney keyframe + Runway,Draft
3.3,1:05-1:10,Heaven Approach (generic + tease),"⚠️ NEEDS REVISION — was Karma Dev, Audit Devi, Kool, PratiKool (silhouettes only); Audit Devi cut from cast, replace 4th silhouette with Maya","Wide shot of the Heaven realm; FIRST HINT — four glowing silhouettes visible inside the Karma Sphere, not yet identifiable.","Faint foreshadow of each character's eventual color: gold / blue-white / warm gold-green / deep red (4th silhouette now Maya, needs a robotic-glow color, not divine).",Blender / After Effects,Draft
4.1,1:10-1:16,Karma Colony Arrival — Character Reveal,Robots (background workforce),"🗑️ CUT (Option A decided) — [was: Camera pushes through the entrance into the Karma Station's interior chamber, revealing a robot workforce already hard at work across tiered platforms — humanoid accountant-bots, mandala drones, serpentine data-bots sorting glowing karma orbs.] Kept here for reference only.",Generic robot palette — cool blues/purples with gold-orb light.,Blender + After Effects (live-action plate optional),Draft
4.2,1:16-1:22,Karma Colony Arrival — Character Reveal,Robots (background workforce),"🗑️ CUT (Option A decided) — [was: karma orbs pile up faster than the robots can process them; a robot fumbles and spills an overflow of orbs, a mandala drone glitches/stutters, red-orange warning lights pulse.] Kept here for reference only.",Red-orange warning accents breaking the cool/gold palette.,Blender + After Effects,Draft
4.3,1:22-1:30,Karma Colony Arrival — Character Reveal,"Karma Dev, Audit Devi, Kool, PratiKool","🗑️ CUT (Option A decided) — [was: a grand archway floods with light and the four walk in together in a slow hero-walk, side by side, resolving from silhouette into full detail — Karma Dev (gold, ledger) center, Audit Devi (blue-white, ledger-tablet) beside him, Kool (gold-green) and PratiKool (deep red) flanking.] Kept here for reference only — replacement arrival shot (with Maya, not Audit Devi) TBD, pending team discussion.",All 4 colors must resolve clearly and match stage costumes exactly.,Blender + After Effects,Draft
4.4,1:30-1:35,Karma Colony Arrival — Character Reveal,All 4,"🗑️ CUT (Option A decided) — [was: the four arrive at a railed platform overlooking the chamber and stop, surveying the overloaded robot floor below.] Kept here for reference only.",—,Blender + After Effects,Draft
5A.1,1:35-1:42,Interior — The Four at Work,All 4,"🗑️ CUT (Option A decided) — [was: intercut wide/detail shots — the four watch the robots continue to struggle below; Audit Devi's ledger-tablet flashes overflow warnings.] Kept here for reference only.",—,Blender + After Effects,Draft
5A.2,1:42-1:50,Interior — The Four at Work,Robots,"🗑️ CUT (Option A decided) — [was: close on individual robot failures — chest-storage overflowing, mandala drone spinning out of sync, orbs spilling uncollected.] Kept here for reference only.",—,Blender + After Effects,Draft
5B.1,1:50-1:58,The Realization / Handoff,"Audit Devi, Karma Dev","🗑️ CUT (Option A decided) — [was: Audit Devi turns to Karma Dev, gesturing urgently at her overflowing ledger — visibly alarmed, delivering the 'we cannot keep up' beat.] Kept here for reference only.",—,Blender + After Effects,Draft
5B.2,1:58-2:03,The Realization / Handoff,Karma Dev,"🗑️ CUT (Option A decided) — [was: Karma Dev raises a hand and a shimmering portal/vision opens, showing a glimpse of AKV's lab on Earth.] Kept here for reference only.",—,Blender + After Effects,Draft
5B.3,TBD (was 2:03-2:07; now follows the TBD replacement for cut shots 4.1-5B.2),The Realization / Handoff,All 4 (Karma Dev, Kool, PratiKool, Maya — not Audit Devi),Final wide shot: the four turn to face the audience in a held pose; video fades to white. Now arrives here via a short heaven-establishing shot (TBD) rather than the cut crisis/realization beats.,KEY MOMENT — video fades exactly as stage lights reveal the live actors in the same pose/costume; colors must match precisely.,Blender + After Effects + live blocking rehearsal,Draft
