Step #,Scene,Act / Rasa,Description,Characters,Music,Status
1,Karma Dev's Intro,Setup / Intro,"Karma Dev introduces himself, Audit Devi, Kool & PratiKool (can take any human form); overwhelmed by growing population & karma load, they approach AKV to build an AI for fast, accurate karma operations.",TBD,TBD,Draft
2,AKV's Creation Video,Setup / Intro,"AKV switches Maya on; she's brilliant, empty — ""Emotions: not found."" (Soft workshop underscore.)",TBD,TBD,Draft
3,AI Training Montage,Setup / Intro,"Maya learns handshakes, jumps, dance, talk — mechanically, comically.",TBD,TBD,Draft
4,Maya Watches Kids Play,Setup / Intro,She's confused by their laughter and games.,TBD,TBD,Draft
5,Audit Devi's Complaint,Setup / Intro,Audit Devi flags that Maya can't understand emotions and is bound to make mistakes.,TBD,TBD,Draft
6,Karma Proposes the Navras,Setup / Intro,"Karma suggests teaching Maya the Navras (Bharat Muni) — the world isn't just algorithms, it's hope, prayers, blessings.",TBD,TBD,Draft
7,Introducing the Livia Team,Setup / Intro,"Karma pitches finding what the team 'wants' and giving it to them as their first life experience, based on their karma count.",TBD,TBD,Draft
8,Karan & Arjun Spotted,Setup / Intro,Friendship intro — 'Ye Bandhan Toh Pyaar Ka Bandhan Hai.',TBD,TBD,Draft
9,The Sponsorship Challenge,Setup / Intro,"A cycle/sportswear sponsor offers Karan & Arjun (sports fanatics) a Triathlon challenge for life sponsorship. Kool enters; they meet Coach Satak Lee ('Aata Maji Satak Li'). Condition: care for the cycle AND finish top 2, or lose the sponsorship for life.",TBD,TBD,Draft
10,Training Begins,Setup / Intro,"They take the cycle to train under Coach Satak Lee, who will watch, coach, and guide them.",TBD,TBD,Draft
11,Explaining the Stakes,Setup / Intro,"Karan & Arjun explain to the coach why this matters — building their whole career on it. Friends celebrate with them; Kool plays 'Yeh Bandhan Toh Pyaar Ka Bandhan Hai,' loving the vibe: 'I wish the world always stayed this way.'",TBD,TBD,Draft
12,"""All Is Well"" Montage (Video)",Setup / Intro,Short happy montage showing how well things are going.,TBD,TBD,Draft
13,Karma's Aside: Achieving Isn't Easy,Setup / Intro,"Karma congratulates the AI on a great start, but notes: for humans, having a goal is easy — achieving it never is. [Needs staging expansion.]",TBD,TBD,Draft
