Shot #,Timecode,Scene,Characters,Visual Treatment,Costume / Color Note,Tool / Method,Status,Prompt Ref
S1.1,0:00-0:05,Scene 1 — Moonlit entrance,—,"Wide aerial descent through clouds to moonlit garden; golden full moon, stars, mist rising, ancient vine-wrapped stone arch gate below.",Cool moonlight + warm golden moon; indigo sky / emerald canopy,livia-navras-play-scribble.md → S1.1,Draft,S1.1 — Moonlit sky descent
S1.2,0:05-0:10,Scene 1 — Moonlit entrance,—,"Ornate Indian temple-style stone arch gate close-up; carved reliefs glow gold; jasmine/marigold garlands; stone path with golden lanterns; fireflies at entrance.",Warm lantern gold on cool moonlit stone,livia-navras-play-scribble.md → S1.2,Draft,S1.2 — Temple gate entrance
S2.1,0:10-0:15,Scene 2 — Garden pathway,—,"Forward glide through tree-lined path; peachy frangipani blooms; moonlight through leaves; petals drifting; mossy stone path; golden ground lanterns.",Peach/pink flowers + emerald + gold lantern pools,livia-navras-play-scribble.md → S2.1,Draft,S2.1 — Flower avenue glide
S2.2,0:15-0:20,Scene 2 — Garden pathway,—,"Close pan across dewy flowers; magical stardust; faint bioluminescent blooms; shallow depth of field; moonlit garden bokeh.",Cool moonlight + soft gold dew highlights,livia-navras-play-scribble.md → S2.2,Draft,S2.2 — Magical flower close-ups
S2.3,0:20-0:25,Scene 2 — Garden pathway,—,"Emerges into wide circular marble plaza with Indian mandala inlay; domed pavilions in background; mist; fireflies; full moon above.",Silver moon on marble + warm pavilion uplight,livia-navras-play-scribble.md → S2.3,Draft,S2.3 — Mandala plaza reveal
S3.1,0:25-0:30,Scene 3 — Waterfall,—,"Pull back/up to reveal multi-tier waterfall; silver moonlit cascade; mist from pool; mossy flowering rocks; golden divine uplight; magical orbs.",Silver water + emerald moss + gold rock accents,livia-navras-play-scribble.md → S3.1,Draft,S3.1 — Waterfall reveal
S3.2,0:30-0:38,Scene 3 — Waterfall,—,"Still pool mirrors moon and waterfall; slow ripples; floating petals; glowing pond stones; bioluminescent water lilies; optional koi shadows.",Mirror reflections; cool silver + warm stone glow,livia-navras-play-scribble.md → S3.2,Draft,S3.2 — Pool reflections
S3.3,0:38-0:45,Scene 3 — Waterfall,—,"Macro slow-motion waterfall spray; moonlit droplets; subtle prism in mist; magical sparkles; optional bird silhouettes at pool edge.",Silver macro water + faint rainbow mist,livia-navras-play-scribble.md → S3.3,Draft,S3.3 — Waterfall spray detail
S3.4,0:45-0:50,Scene 3 — Waterfall,—,"Wide waterfall with Indian deity stone sculptures in garlands; temple structure in rock; golden sculpture uplight; swaying willows; fireflies in mist.",Mythic stone + gold garlands + silver falls,livia-navras-play-scribble.md → S3.4,Draft,S3.4 — Wide waterfall landscape
S4.1,0:50-0:57,Scene 4 — Garden swing,—,"Empty flower-decorated wooden swing on ancient tree; gentle magical sway; silk cushions; divine glow on branch; moonlit rope shadows.",Dreamy moonlight + warm lantern background,livia-navras-play-scribble.md → S4.1,Draft,S4.1 — Garden swing in motion
